,confirm,suspect,heal,dead,confirm_add,suspect_add,heal_add,dead_add
2020-03-02,101968,2,96640,4845,23,2,40,0
2020-03-03,101995,2,96681,4845,27,1,41,0
2020-03-04,102015,2,96706,4846,20,2,25,1
2020-03-05,102036,0,96732,4846,21,0,26,0
2020-03-06,102064,0,96767,4848,28,1,35,2
2020-03-07,102101,1,96783,4848,37,0,16,0
2020-03-08,102125,0,96801,4848,24,0,18,0
2020-03-09,102152,3,96835,4848,27,3,34,0
2020-03-10,102172,2,96859,4849,20,0,24,1
2020-03-11,102203,1,96887,4849,31,1,28,0
2020-03-12,102276,0,96914,4849,73,0,27,0
2020-03-13,102333,1,96953,4849,57,1,39,0
2020-03-14,102363,1,96990,4849,30,0,37,0
2020-03-15,102411,0,97011,4849,48,0,21,0
2020-03-16,102433,4,97038,4849,22,4,27,0
2020-03-17,102450,6,97079,4849,17,2,41,0
2020-03-18,102479,4,97112,4849,29,1,33,0
2020-03-19,102502,4,97132,4849,23,1,20,0
2020-03-20,102523,4,97169,4849,21,2,37,0
2020-03-21,102539,4,97194,4849,16,0,25,0
2020-03-22,102566,2,97232,4849,27,0,38,0
2020-03-23,102589,6,97283,4850,23,0,51,1
2020-03-24,102612,4,97315,4850,23,0,32,0
2020-03-25,102635,4,97361,4850,23,1,46,0
2020-03-26,102659,2,97406,4851,24,0,45,1
2020-03-27,102680,2,97430,4851,21,1,24,0
2020-03-28,102698,2,97457,4851,18,0,27,0
2020-03-29,102715,2,97483,4851,17,0,26,0
2020-03-30,102734,3,97499,4851,19,1,16,0
2020-03-31,102762,3,97518,4851,28,0,19,0
2020-04-01,102790,5,97541,4851,28,2,23,0
2020-04-02,102838,3,97570,4851,48,0,29,0
2020-04-03,102867,3,97595,4851,29,2,25,0
2020-04-04,102908,2,97615,4851,41,0,20,0
2020-04-05,102949,1,97646,4851,41,0,31,0
2020-04-06,102970,1,97664,4851,21,0,18,0
2020-04-07,103003,1,97681,4851,33,0,17,0
2020-04-08,103034,2,97700,4851,31,1,19,0
2020-04-09,103066,2,97733,4853,32,0,33,2
2020-04-10,103083,1,97749,4853,17,0,16,0
2020-04-11,103113,1,97771,4854,30,1,22,1
2020-04-12,103136,0,97794,4854,23,0,23,0
2020-04-13,103165,2,97815,4855,29,2,21,1
2020-04-14,103185,3,97838,4856,20,1,23,1
2020-04-15,103203,2,97858,4856,18,0,20,0
2020-04-16,103237,2,97871,4856,34,0,13,0
2020-04-17,103273,3,97888,4856,36,1,17,0
2020-04-18,103315,4,97910,4856,42,1,22,0
2020-04-19,103340,4,97929,4856,25,0,19,0
2020-04-20,103371,1,97973,4856,31,0,44,0
2020-04-21,103382,3,97996,4856,11,2,23,0
2020-04-22,103419,2,98030,4856,37,0,34,0
2020-04-23,103441,5,98052,4856,22,3,22,0
2020-04-24,103464,6,98078,4856,23,2,26,0
2020-04-25,103484,6,98100,4857,20,0,22,1
2020-04-26,103503,3,98116,4857,19,0,16,0
2020-04-27,103529,7,98147,4857,26,4,31,0
2020-04-28,103562,7,98173,4857,33,1,26,0
2020-04-29,103595,10,98195,4857,33,3,22,0
2020-04-30,103622,11,98228,4857,27,3,33,0
